import time: self [us] | cumulative | imported package
import time:        80 |         80 |   _io
import time:        14 |         14 |   marshal
import time:       161 |        161 |   posix
import time:       189 |        442 | _frozen_importlib_external
import time:       575 |        575 |   time
import time:        75 |        649 | zipimport
import time:        27 |         27 |     _codecs
import time:       194 |        220 |   codecs
import time:       519 |        519 |   encodings.aliases
import time:       658 |       1397 | encodings
import time:       255 |        255 | encodings.utf_8
import time:        45 |         45 | _signal
import time:        13 |         13 |     _abc
import time:        66 |         79 |   abc
import time:        84 |        163 | io
import time:        21 |         21 |       _stat
import time:        35 |         56 |     stat
import time:       418 |        418 |     _collections_abc
import time:        17 |         17 |       genericpath
import time:        32 |         49 |     posixpath
import time:       167 |        688 |   os
import time:        30 |         30 |   _sitebuiltins
import time:       765 |        765 |   _distutils_hack
import time:       400 |        400 |         types
import time:       186 |        186 |           _operator
import time:       552 |        738 |         operator
import time:       101 |        101 |             itertools
import time:       237 |        237 |             keyword
import time:       277 |        277 |             reprlib
import time:        33 |         33 |             _collections
import time:       676 |       1322 |           collections
import time:        56 |         56 |           _functools
import time:       522 |       1898 |         functools
import time:      1421 |       4456 |       enum
import time:        36 |         36 |         _sre
import time:       219 |        219 |           re._constants
import time:      1492 |       1710 |         re._parser
import time:       234 |        234 |         re._casefix
import time:       406 |       2386 |       re._compiler
import time:       210 |        210 |       copyreg
import time:       889 |       7940 |     re
import time:      1187 |       9126 |   sitecustomize
import time:      1058 |      11666 | site
import time:       217 |        217 |   app
import time:       333 |        333 |       collections.abc
import time:       427 |        427 |       contextlib
import time:       258 |        258 |       warnings
import time:       588 |        588 |       _typing
import time:      1851 |       3456 |     typing
import time:      1069 |       1069 |               token
import time:       879 |       1947 |             tokenize
import time:       302 |       2249 |           linecache
import time:       902 |        902 |           textwrap
import time:       729 |       3879 |         traceback
import time:       483 |        483 |           _weakrefset
import time:       726 |       1209 |         weakref
import time:        21 |         21 |           _string
import time:       404 |        424 |         string
import time:       653 |        653 |         threading
import time:        22 |         22 |         atexit
import time:      1299 |       7483 |       logging
import time:       292 |        292 |         fnmatch
import time:        52 |         52 |           _winapi
import time:        43 |         43 |           nt
import time:        38 |         38 |           nt
import time:        36 |         36 |           nt
import time:        36 |         36 |           nt
import time:        36 |         36 |           nt
import time:        65 |        304 |         ntpath
import time:        27 |         27 |         errno
import time:       223 |        223 |           urllib
import time:       874 |        874 |           ipaddress
import time:       775 |       1872 |         urllib.parse
import time:       783 |       3276 |       pathlib
import time:       434 |        434 |         zlib
import time:       222 |        222 |           _compression
import time:       354 |        354 |           _bz2
import time:       205 |        779 |         bz2
import time:       553 |        553 |           _lzma
import time:       177 |        729 |         lzma
import time:       444 |       2385 |       shutil
import time:       524 |        524 |           math
import time:       341 |        341 |             _bisect
import time:       202 |        543 |           bisect
import time:       540 |        540 |           _random
import time:       382 |        382 |           _sha512
import time:       309 |       2296 |         random
import time:       307 |       2603 |       tempfile
import time:       921 |        921 |       dotenv.parser
import time:       405 |        405 |       dotenv.variables
import time:      1845 |      18915 |     dotenv.main
import time:       327 |      22697 |   dotenv
import time:       244 |        244 |     starlette
import time:       142 |        142 |       __future__
import time:       560 |        702 |     starlette.status
import time:       200 |        200 |         annotated_doc.main
import time:       214 |        413 |       annotated_doc
import time:       206 |        206 |           email
